ticker,calendardate,assetturnover,currentratio,de,epsusd,grossmargin,netmargin,pe,price
XOM,2018-12-31,0.83,0.84,0.77,4.88,0.349,0.072,13.9,68.19
WMT,2018-12-31,2.40,0.80,1.93,2.28,0.251,0.013,41.7,95.83
VZ,2018-12-31,0.50,0.91,3.95,3.76,0.576,0.119,15.0,56.22
V,2018-12-31,0.30,1.61,1.04,4.43,0.846,0.500,29.6,150.09
UTX,2018-12-31,0.59,1.13,2.43,6.58,0.248,0.079,16.2,106.48
UNH,2018-12-31,1.48,0.73,1.86,12.45,0.238,0.053,20.0,249.12
TSLA,2018-12-31,0.75,0.83,4.76,-5.72,0.188,-0.045,-58.6,332.80
TRV,2018-12-31,0.29,NULL,3.55,9.37,0.396,0.083,12.6,119.75
PG,2018-12-31,0.54,0.83,1.24,3.75,0.487,0.146,20.1,78.06
PFE,2018-12-31,0.33,1.57,1.51,1.90,0.790,0.208,22.6,43.65
NKE,2018-12-31,1.57,2.51,1.30,1.19,0.438,0.053,59.9,71.80
MSFT,2018-12-31,0.44,2.90,2.13,2.15,0.652,0.150,45.7,98.61
MRK,2018-12-31,0.50,1.17,2.09,2.34,0.681,0.147,31.9,76.41
MMM,2018-12-31,0.88,1.89,2.72,9.09,0.491,0.163,20.7,190.54
MCD,2018-12-31,0.63,1.36,-6.24,7.61,0.513,0.282,23.1,177.57
KO,2018-12-31,0.36,1.05,3.78,1.51,0.631,0.202,31.3,47.35
JPM,2018-12-31,0.04,NULL,9.22,9.04,1.000,0.282,10.6,97.62
JNJ,2018-12-31,0.53,1.47,1.56,5.70,0.668,0.188,22.3,127.27
INTC,2018-12-31,0.56,1.73,0.72,4.57,0.617,0.297,10.1,46.75
IBM,2018-12-31,0.65,1.29,6.34,9.57,0.464,0.110,11.8,113.67
HD,2018-12-31,2.38,1.11,-24.43,9.78,0.343,0.103,18.7,184.37
GS,2018-12-31,0.04,NULL,9.33,25.53,1.000,0.269,6.3,167.05
GE,2018-12-31,0.37,NULL,8.32,-2.62,0.215,-0.187,-2.9,7.57
DIS,2018-12-31,0.61,0.94,0.94,8.40,0.449,0.212,13.8,116.94
DD,2018-12-31,0.46,2.01,0.97,4.98,0.240,0.045,31.9,160.44
CVX,2018-12-31,0.65,1.25,0.64,7.81,0.279,0.089,14.0,108.79
CSCO,2018-12-31,0.41,2.29,1.52,0.02,0.620,0.002,1820.0,42.57
CAT,2018-12-31,0.70,1.37,4.58,10.39,0.311,0.112,12.2,127.07
BA,2018-12-31,0.88,1.08,344.98,18.05,0.194,0.103,17.5,322.50
AXP,2018-12-31,0.20,NULL,7.46,7.93,1.000,0.187,11.8,95.32
AAPL,2018-12-31,0.71,1.13,2.41,12.01,0.383,0.224,18.3,225.74
