ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
AXP,MRY,12/31/11,12/31/11,12/31/11,4/23/19,-876000000,1.53337E+11,1.48451E+11,,,0.194,16.202,-1189000000,24086000000,24086000000,0,4935000000,,7.159,63907000000,,,63907000000,0,918000000,37898000000,0.015,0.72,6992000000,7910000000,0.274,7910000000,6992000000,6992000000,4.14,4.12,4.14,18794000000,18145250000,18794000000,95653123251,14,12.093,8579000000,7.283,1,28850000000,1,0,0,1.93158E+11,1.89901E+11,0,69120000000,,,1.34543E+11,,,54787123251,8537000000,-610000000,-1706000000,-6342000000,-861000000,-677000000,-491000000,-2266000000,9768000000,-63000000,4935000000,4935000000,4935000000,-36000000,0,0.171,21894000000,6956000000,10458000000,0.174,2.915,11.102,11.394,3367000000,0,47.17,1.899,1.926,44109000000,7221000000,28850000000,28850000000,0,0.033,0.272,0.037,0.242,301000000,16182000000,1,1161482367,1178000000,1184000000,24.491,1.53337E+11,0,2057000000,0,132.187,
AXP,MRY,12/31/12,12/31/12,12/31/12,4/23/19,-927000000,1.5314E+11,1.51481E+11,,,0.197,16.999,-1053000000,22250000000,22250000000,0,4482000000,,7.109,62287000000,,,62287000000,0,991000000,39803000000,0.014,0.78,6451000000,7442000000,0.249,7442000000,6451000000,6451000000,3.91,3.89,3.91,18886000000,19384500000,18886000000,99646691347,15,13.39,6029000000,5.312,1,29843000000,1,0,0,1.93177E+11,1.88131E+11,0,69923000000,,,1.34254E+11,,,64323691347,-2643000000,-466000000,-3509000000,-1157000000,-902000000,-3268000000,-6545000000,-5057000000,7082000000,88000000,4482000000,4482000000,4482000000,0,0,0.15,23392000000,6451000000,10006000000,0.199,3.406,14.352,14.701,3635000000,0,57.48,2.155,2.186,45914000000,7525000000,29843000000,29843000000,0,0.03,0.231,0.034,0.216,297000000,16541000000,1,1119062132,1135000000,1141000000,26.293,1.5314E+11,0,1969000000,0,137.84,
AXP,MRY,12/31/13,12/31/13,12/31/13,4/23/19,-1426000000,1.53375E+11,1.53067E+11,,,0.203,18.018,-1006000000,19486000000,19486000000,0,5359000000,,6.867,60351000000,,,60351000000,0,1020000000,41763000000,0.009,0.86,7888000000,8908000000,0.287,8908000000,7888000000,7888000000,4.91,4.88,4.91,19496000000,19259000000,19496000000,1.30686E+11,17,14.671,7541000000,6.97,1,31038000000,1,0,0,1.9424E+11,1.87722E+11,0,71601000000,,,1.33879E+11,,,97196401499,-2764000000,-195000000,-3222000000,-925000000,-939000000,-3891000000,-7269000000,-6140000000,8547000000,-151000000,5359000000,5359000000,5359000000,0,0,0.173,23150000000,7888000000,10615000000,0.175,4.985,18.137,18.479,3875000000,0,90.73,3.132,3.163,47185000000,8507000000,31038000000,31038000000,0,0.035,0.278,0.042,0.254,350000000,16354000000,1,1071270820,1082000000,1089000000,28.686,1.53375E+11,0,2529000000,0,141.751,
AXP,MRY,12/31/14,12/31/14,12/31/14,4/23/19,-1919000000,1.59103E+11,1.54212E+11,,,0.208,19.783,-1195000000,22288000000,22288000000,0,5885000000,,6.696,61435000000,,,61435000000,0,1012000000,44171000000,0.011,0.98,8991000000,10003000000,0.311,10003000000,8991000000,8991000000,5.58,5.56,5.58,20673000000,20269750000,20673000000,1.34096E+11,15,13.406,9795000000,9.373,1,32144000000,1,0,0,1.9825E+11,1.9246E+11,0,74535000000,,,1.3843E+11,,,96266302770,2802000000,-229000000,-4027000000,1878000000,-1041000000,11000000,-7967000000,-6615000000,10990000000,-232000000,5885000000,5885000000,5885000000,0,0,0.183,23153000000,8991000000,11300000000,0.176,4.657,16.358,16.674,3938000000,0,93.04,2.995,3.025,47000000000,9513000000,32144000000,32144000000,0,0.038,0.29,0.047,0.28,290000000,17064000000,1,1034676513,1045000000,1051000000,30.76,1.59103E+11,0,3106000000,0,152.252,
AXP,MRY,12/31/15,12/31/15,12/31/15,4/23/19,-2534000000,1.61184E+11,1.56809E+11,,,0.197,20.694,-1341000000,22762000000,22762000000,0,5163000000,,6.797,52873000000,,,52873000000,0,1043000000,54997000000,0.016,1.1,7938000000,8981000000,0.291,8981000000,7938000000,7938000000,5.07,5.05,5.07,20673000000,21430750000,20673000000,1.00329E+11,13,11.171,9365000000,9.374,1,30830000000,1,0,0,1.91295E+11,1.8972E+11,0,77550000000,,,1.40511E+11,,,68454303945,474000000,-155000000,-4382000000,-7928000000,-1172000000,-1763000000,-8193000000,-6577000000,10706000000,-276000000,5163000000,5163000000,5163000000,0,0,0.167,22892000000,7938000000,11822000000,0.217,3.311,13.259,13.718,4108000000,0,69.55,2.22,2.254,46695000000,9665000000,30830000000,30830000000,0,0.033,0.241,0.042,0.257,234000000,16099000000,1,984245923,999000000,1003000000,30.861,1.61184E+11,0,2775000000,0,161.345,
AXP,MRY,12/31/16,12/31/16,12/31/16,4/23/19,-2784000000,1.58893E+11,1.57682E+11,,,0.212,21.973,-1375000000,25208000000,25208000000,0,5375000000,,6.75,52571000000,,,52571000000,0,1095000000,53042000000,0.016,1.19,8042000000,9137000000,0.273,9137000000,8042000000,8042000000,5.63,5.61,5.63,20501000000,20739250000,20501000000,89037118476,11,9.745,6916000000,7.413,1,33411000000,1,0,0,1.86256E+11,1.80853E+11,0,68618000000,,,1.38392E+11,,,67802118476,2255000000,-487000000,-4321000000,-136000000,-1207000000,-7599000000,1723000000,3585000000,8291000000,-160000000,5375000000,5375000000,5375000000,0,0,0.161,25369000000,8042000000,11190000000,0.211,3.307,12.614,13.158,4433000000,0,74.08,2.029,2.069,50073000000,10371000000,33411000000,33411000000,0,0.034,0.259,0.044,0.241,254000000,19327000000,1,915255379,933000000,935000000,35.81,1.58893E+11,0,2667000000,0,170.303,
AXP,MRY,12/31/17,12/31/17,12/31/17,4/23/19,-2428000000,1.81196E+11,1.69539E+11,,,0.201,20.681,-1062000000,32927000000,32927000000,0,2748000000,,8.923,59082000000,,,59082000000,0,1321000000,64452000000,0.013,1.31,7425000000,8746000000,0.256,8746000000,7425000000,7425000000,3,2.99,3,18261000000,20364000000,18261000000,1.11147E+11,15,12.708,12478000000,14.131,1,34118000000,1,0,0,2.07351E+11,1.95017E+11,0,77459000000,,,1.62935E+11,,,86200707588,7769000000,-211000000,-4271000000,6382000000,-1251000000,12245000000,-18242000000,-16969000000,13540000000,226000000,2748000000,2748000000,2748000000,0,0,0.081,26693000000,7425000000,14657000000,0.437,4.72,31.369,33.103,4329000000,0,99.31,2.527,2.57,56735000000,8307000000,34118000000,34118000000,0,0.016,0.135,0.038,0.218,282000000,19667000000,1,867996250,883000000,886000000,38.639,1.81196E+11,0,4677000000,0,205.205,
AXP,MRY,12/31/18,12/31/18,12/31/18,4/23/19,-2597000000,1.88602E+11,1.85628E+11,,,0.199,26.04,-1310000000,27445000000,27445000000,0,6921000000,,7.461,61523000000,,,61523000000,0,1293000000,69960000000,0.015,1.44,8122000000,9415000000,0.255,9415000000,8122000000,8122000000,7.93,7.91,7.93,22290000000,21063750000,22290000000,1.08789E+11,13,11.555,7620000000,8.902,1,36986000000,1,0,0,2.2268E+11,2.13821E+11,0,88043000000,,,1.66312E+11,,,81428235062,-5455000000,-520000000,-1598000000,2481000000,-1324000000,5101000000,-19615000000,-17785000000,8930000000,129000000,6921000000,6921000000,6921000000,0,0,0.187,28864000000,8122000000,12255000000,0.182,3.653,11.765,12.02,4416000000,0,95.32,2.202,2.206,58227000000,12499000000,36986000000,36986000000,0,0.037,0.329,0.038,0.22,283000000,21416000000,1,854261803,856000000,859000000,43.208,1.88602E+11,0,1201000000,0,220.329,
BA,MRY,12/31/11,12/31/11,12/31/11,4/24/19,-16500000000,79986000000,73757000000,49810000000,30176000000,0.932,4.729,-1619000000,10049000000,10049000000,55888000000,4018000000,1.207,21.729,12371000000,2353000000,10018000000,12371000000,15496000000,1675000000,0,0.023,1.68,5877000000,7552000000,0.11,7552000000,5877000000,5400000000,5.39,5.34,5.39,3515000000,4531750000,3515000000,60942246614,10,8.07,2404000000,3.235,1,12847000000,0.187,7989000000,477000000,33045000000,33222250000,32240000000,2266000000,1223000000,1043000000,76378000000,41274000000,35104000000,54516246614,4690000000,-42000000,114000000,-582000000,-1244000000,-1700000000,2369000000,3961000000,4023000000,-2000000,4018000000,4018000000,4018000000,-7000000,0,0.058,7048000000,5799000000,8406000000,0.312,15.51,13.568,13.609,9313000000,0,73.35,0.793,0.793,10565000000,27524000000,68735000000,68735000000,3918000000,0.054,0.887,0.177,0.086,150000000,3408000000,1,743234446,743234446,,92.481,71997000000,5921000000,1382000000,2902000000,96.87,8536000000
BA,MRY,12/31/12,12/31/12,12/31/12,4/24/19,-17416000000,88896000000,83587500000,57309000000,31587000000,0.977,7.78,-1606000000,10341000000,10341000000,68665000000,3900000000,1.274,14.135,10409000000,1436000000,8973000000,10409000000,16672000000,1811000000,0,0.023,1.76,6349000000,8160000000,0.1,8160000000,6349000000,5907000000,5.15,5.11,5.15,5867000000,6071500000,5867000000,61431233903,10,7.528,5902000000,7.827,1,13033000000,0.16,8146000000,442000000,35836000000,36330000000,37751000000,4397000000,3217000000,1180000000,82929000000,44982000000,37947000000,56827233903,292000000,-124000000,120000000,-2244000000,-1322000000,-3477000000,-3757000000,-2020000000,7508000000,18000000,3900000000,3900000000,3900000000,3000000,0,0.048,6747000000,6286000000,9394000000,0.342,9.686,14.571,14.633,9660000000,0,75.36,0.696,0.696,10028000000,30037000000,81698000000,81698000000,3298000000,0.047,0.642,0.175,0.078,148000000,3717000000,1,754076883,754076883,,108.342,80750000000,6781000000,2007000000,4851000000,107.085,12327000000
